Name	Description
TCGA_COAD	Colorectal Adenocarcinoma TCGA PanCancer data.
TCGA_AML	Acute Myeloid Leukemia TCGA PanCancer data.
TCGA_BLCA	Bladder Urothelial Carcinoma TCGA PanCancer data.
